# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
60.4863,10903,2320
60.6002,10906,2320
60.7143,10905,2321
60.8283,10902,2321
60.9423,10902,2320
61.0563,10902,2320
61.1703,10902,2321
61.2843,10901,2320
61.3982,10902,2320
61.5122,10902,2321
61.6261,10904,2320
61.7400,10904,2321
61.8539,10902,2321
61.9678,10902,2320
62.0817,10902,2320
62.1965,10901,2320
62.3117,10902,2320
62.4269,10901,2319
62.5421,10899,2320
62.6574,10900,2319
62.7726,10901,2320
62.8873,10898,2319
63.0012,10897,2319
63.1151,10900,2318
63.2291,10903,2318
63.3430,10901,2319
63.4570,10898,2319
63.5709,10897,2319
63.6848,10898,2320
63.7987,10899,2319
63.9126,10900,2318
64.0265,10899,2319
64.1404,10899,2318
64.2544,10900,2320
64.3683,10896,2319
64.4822,10899,2319
64.5961,10895,2318
64.7100,10896,2320
64.8239,10897,2318
64.9379,10899,2318
65.0518,10897,2319
65.1657,10895,2319
65.2796,10896,2319
65.3935,10895,2319
65.5074,10897,2319
65.6213,10894,2319
65.7352,10895,2319
65.8492,10893,2319
65.9632,10895,2318
66.0771,10895,2318
66.1911,10895,2317
66.3051,10896,2318
66.4190,10892,2316
66.5330,10894,2317
66.6469,10894,2317
66.7608,10896,2317
66.8747,10892,2317
66.9886,10893,2318
67.1026,10891,2317
67.2166,10892,2319
67.3306,10891,2318
67.4445,10892,2317
67.5584,10892,2319
67.6723,10891,2318
67.7863,10892,2317
67.9002,10895,2318
68.0153,10890,2319
68.1306,10887,2318
68.2457,10888,2318
68.3609,10891,2318
68.4761,10888,2317
68.5908,10891,2318
68.7047,10886,2318
68.8187,10890,2317
68.9326,10889,2317
69.0465,10886,2318
69.1604,10888,2316
69.2744,10891,2318
69.3883,10892,2317
69.5022,10887,2318
69.6161,10886,2317
69.7300,10885,2317
69.8439,10887,2317
69.9579,10887,2316
70.0718,10889,2316
70.1857,10890,2317
70.2997,10887,2316
70.4136,10889,2317
70.5275,10887,2317
70.6414,10885,2317
70.7553,10886,2317
70.8692,10888,2317
70.9831,10887,2317
71.0971,10886,2317
71.2110,10885,2316
71.3250,10886,2316
71.4389,10883,2318
71.5528,10883,2318
71.6668,10881,2317
71.7807,10885,2315
71.8946,10883,2316
72.0085,10884,2317
72.1224,10885,2316
72.2364,10884,2317
72.3503,10884,2315
72.4642,10884,2317
72.5781,10883,2315
72.6921,10886,2317
72.8060,10882,2316
72.9199,10884,2315
73.0338,10881,2317
73.1478,10882,2315
73.2618,10882,2317
73.3757,10882,2316
73.4897,10881,2316
73.6045,10879,2315
73.7197,10882,2315
73.8348,10883,2315
73.9500,10881,2316
74.0652,10883,2316
74.1805,10879,2316
74.2954,10879,2315
74.4093,10878,2315
74.5232,10877,2316
74.6372,10878,2316
74.7511,10875,2313
74.8650,10879,2314
74.9789,10881,2316
75.0928,10880,2314
75.2068,10880,2314
75.3207,10880,2315
75.4346,10880,2315
75.5485,10879,2315
75.6624,10876,2314
75.7764,10877,2314
75.8903,10876,2315
76.0042,10877,2315
76.1181,10878,2315
76.2321,10875,2316
76.3460,10875,2315
76.4599,10876,2315
76.5739,10877,2315
76.6878,10877,2315
76.8018,10874,2314
76.9157,10874,2314
77.0296,10872,2314
77.1435,10874,2315
77.2575,10874,2315
77.3717,10875,2314
77.4857,10874,2313
77.5996,10873,2314
77.7135,10874,2315
77.8275,10872,2314
77.9414,10871,2315
78.0553,10871,2314
78.1692,10871,2314
78.2832,10873,2315
78.3971,10873,2314
78.5110,10870,2314
78.6249,10870,2314
78.7388,10866,2315
78.8527,10871,2314
78.9666,10871,2314
79.0806,10869,2313
79.1946,10867,2313
79.3094,10874,2314
79.4246,10871,2313
79.5398,10868,2313
79.6550,10869,2313
79.7702,10869,2313
79.8854,10870,2314
80.0001,10870,2313
80.1141,10868,2313
80.2280,10870,2314
80.3419,10867,2314
80.4558,10868,2313
80.5697,10872,2314
80.6837,10869,2313
80.7976,10869,2313
80.9116,10869,2313
81.0255,10866,2313
81.1394,10864,2314
81.2533,10865,2314
81.3672,10868,2313
